POL,POD,Place of Delivery,Curr,D20,D40,Note,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
657713,657301,660244,USD,3310,4100,"1,2,4",SHANGHAI,NORFOLK,"CINCINNATI, OH",270,300,3040,3800,TAIZHOU,657713,TAIZHOU
657713,649220,657532,USD,3190,3950,"1,2,4",SHANGHAI,NEW YORK,"CLEVELAND, OH",270,300,2920,3650,TAIZHOU,657713,TAIZHOU
657713,657301,657532,USD,3190,3950,"1,2,4",SHANGHAI,NORFOLK,"CLEVELAND, OH",270,300,2920,3650,TAIZHOU,657713,TAIZHOU
657713,649220,656909,USD,3350,4150,"1,2,4",SHANGHAI,NEW YORK,"COLUMBUS, OH",270,300,3080,3850,TAIZHOU,657713,TAIZHOU
657713,657301,656909,USD,3350,4150,"1,2,4",SHANGHAI,NORFOLK,"COLUMBUS, OH",270,300,3080,3850,TAIZHOU,657713,TAIZHOU
657713,657301,659550,USD,3270,4050,"1,2,4",SHANGHAI,NORFOLK,"DETROIT, MI",270,300,3000,3750,TAIZHOU,657713,TAIZHOU
657713,656290,660248,USD,2910,3600,"1,2,4",SHANGHAI,CHARLESTON,"DILLON, SC",270,300,2640,3300,TAIZHOU,657713,TAIZHOU
657713,656290,660243,USD,3190,3950,"1,2,4",SHANGHAI,CHARLESTON,"GREER, SC",270,300,2920,3650,TAIZHOU,657713,TAIZHOU
657713,657301,660249,USD,3310,4100,"1,2,4",SHANGHAI,NORFOLK,"KANSAS CITY, KS",270,300,3040,3800,TAIZHOU,657713,TAIZHOU
657713,657301,657099,USD,3310,4100,"1,2,4",SHANGHAI,NORFOLK,"LOUISVILLE, KY",270,300,3040,3800,TAIZHOU,657713,TAIZHOU
657713,656034,657527,USD,3110,3850,"1,2,4",SHANGHAI,SAVANNAH,"MEMPHIS, TN",270,300,2840,3550,TAIZHOU,657713,TAIZHOU
657713,656034,659680,USD,3230,4000,"1,2,4",SHANGHAI,SAVANNAH,"NASHVILLE, TN",270,300,2960,3700,TAIZHOU,657713,TAIZHOU
657713,657301,660207,USD,3230,4000,"1,2,4",SHANGHAI,NORFOLK,"PHILADELPHIA, PA",270,300,2960,3700,TAIZHOU,657713,TAIZHOU
657713,657301,657528,USD,3230,4000,"1,2,4",SHANGHAI,NORFOLK,"ST LOUIS, MO",270,300,2960,3700,TAIZHOU,657713,TAIZHOU
657713,657525,657525,USD,2350,2900,"1,2,4",SHANGHAI,TAMPA,TAMPA,270,300,2080,2600,TAIZHOU,657713,TAIZHOU
657713,657381,657381,USD,2350,2900,"1,2,4",SHANGHAI,HOUSTON,HOUSTON,270,300,2080,2600,TAIZHOU,657713,TAIZHOU
657713,660236,660236,USD,2350,2900,"1,2,4",SHANGHAI,MOBILE,MOBILE,270,300,2080,2600,TAIZHOU,657713,TAIZHOU
657713,660203,660203,USD,2350,2900,"1,2,4",SHANGHAI,NEW ORLEANS,NEW ORLEANS,270,300,2080,2600,TAIZHOU,657713,TAIZHOU
657713,657381,657529,USD,3310,4100,"1,2,4",SHANGHAI,HOUSTON,"DALLAS, TX",270,300,3040,3800,TAIZHOU,657713,TAIZHOU
