POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
656727,648392,660272,USD,4535,5300,SINGAPORE,LOS ANGELES,COLUMBUS,495,550,4040,4750,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,660272,USD,4535,5300,SINGAPORE,LONG BEACH,COLUMBUS,495,550,4040,4750,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657529,USD,4025,4700,SINGAPORE,LOS ANGELES,DALLAS,495,550,3530,4150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657529,USD,4025,4700,SINGAPORE,LONG BEACH,DALLAS,495,550,3530,4150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657100,USD,4705,5500,SINGAPORE,LOS ANGELES,DENVER,495,550,4210,4950,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657100,USD,4705,5500,SINGAPORE,LONG BEACH,DENVER,495,550,4210,4950,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,659550,USD,4875,5700,SINGAPORE,LOS ANGELES,DETROIT,495,550,4380,5150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,659550,USD,4875,5700,SINGAPORE,LONG BEACH,DETROIT,495,550,4380,5150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,660273,USD,4280,5000,SINGAPORE,LOS ANGELES,EL PASO,495,550,3785,4450,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,660273,USD,4280,5000,SINGAPORE,LONG BEACH,EL PASO,495,550,3785,4450,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657381,USD,4365,5100,SINGAPORE,LOS ANGELES,HOUSTON,495,550,3870,4550,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657381,USD,4365,5100,SINGAPORE,LONG BEACH,HOUSTON,495,550,3870,4550,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657530,USD,6575,7700,SINGAPORE,LOS ANGELES,INDIANAPOLIS,495,550,6080,7150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657530,USD,6575,7700,SINGAPORE,LONG BEACH,INDIANAPOLIS,495,550,6080,7150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,660249,USD,4025,4700,SINGAPORE,LOS ANGELES,KANSAS CITY,495,550,3530,4150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,660249,USD,4025,4700,SINGAPORE,LONG BEACH,KANSAS CITY,495,550,3530,4150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657099,USD,4875,5700,SINGAPORE,LOS ANGELES,LOUISVILLE,495,550,4380,5150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657099,USD,4875,5700,SINGAPORE,LONG BEACH,LOUISVILLE,495,550,4380,5150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657527,USD,4110,4800,SINGAPORE,LOS ANGELES,MEMPHIS,495,550,3615,4250,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657527,USD,4110,4800,SINGAPORE,LONG BEACH,MEMPHIS,495,550,3615,4250,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,660203,USD,4110,4800,SINGAPORE,LOS ANGELES,NEW ORLEANS,495,550,3615,4250,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,660203,USD,4110,4800,SINGAPORE,LONG BEACH,NEW ORLEANS,495,550,3615,4250,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657531,USD,4195,4900,SINGAPORE,LOS ANGELES,SALT LAKE CITY,495,550,3700,4350,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657531,USD,4195,4900,SINGAPORE,LONG BEACH,SALT LAKE CITY,495,550,3700,4350,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656664,657531,USD,3940,4600,SINGAPORE,OAKLAND,SALT LAKE CITY,495,550,3445,4050,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,660253,USD,5300,6200,SINGAPORE,LOS ANGELES,SAN ANTONIO,495,550,4805,5650,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,660253,USD,5300,6200,SINGAPORE,LONG BEACH,SAN ANTONIO,495,550,4805,5650,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,656775,USD,5895,6900,SINGAPORE,LOS ANGELES,ATLANTA,495,550,5400,6350,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,656775,USD,5895,6900,SINGAPORE,LONG BEACH,ATLANTA,495,550,5400,6350,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,656495,USD,1755,2350,SINGAPORE,SEATTLE,,495,550,1260,1800,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656496,656496,USD,1755,2350,SINGAPORE,TACOMA,,495,550,1260,1800,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,656569,USD,3855,4500,SINGAPORE,SEATTLE,CHICAGO,495,550,3360,3950,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656495,660244,USD,4365,5100,SINGAPORE,SEATTLE,CINCINNATI,495,550,3870,4550,SIHANOUKVILLE,656727,SIHANOUKVILLE
