Timestamp,2025-11-14T00:11:23.737Z
POL,Place of Receipt,D20,D40,Place of Receipt ID
SHANGHAI,TONGLING,180,200,
SHANGHAI,WANZHOU,580,640,
NINGBO,WENZHOU,270,300,
SHANGHAI,WUHAN,180,200,657133
SHANGHAI,WUHU,270,300,
SHANGHAI,WUXI,380,520,
YANTIAN,WUZHOU,270,300,
NINGBO,XI AN,520,430,
SHEKOU,XIAMEN,90,100,644176
YANTIAN,XINHUI,180,200,
NINGBO,XUZHOU,380,370,
SHANGHAI,YANGZHOU,360,400,
SHANGHAI,YIBIN,765,850,
SHANGHAI,YICHANG,315,350,
SHANGHAI,YUEYANG,315,350,659689
YANTIAN,YUNFU,135,150,
SHANGHAI,ZHANGJIAGANG,180,200,659692
YANTIAN,ZHANJIANG,260,345,654219
YANTIAN,ZHAOQING,200,220,659688
NINGBO,ZHAPU,90,100,653624
QINGDAO,ZHENGZHOU,975,1090,
SHANGHAI,ZHENJIANG,225,250,
YANTIAN,ZHONGSHAN,90,100,655014
YANTIAN,ZHUHAI,90,100,649208
NINGBO,ZHUMADIAN,620,740,
NANSHA,ZHUZHOU,400,475,
YANTIAN,HONG KONG,90,100,648560
SINGAPORE,BALIKPAPAN,900,1000,
SINGAPORE,BANJARMASIN,765,850,
SINGAPORE,BATAM,360,400,
SINGAPORE,BELAWAN,540,600,656638
SINGAPORE,BITUNG,900,1000,
SINGAPORE,DUMAI,360,400,
SINGAPORE,JAKARTA,0,0,656642
SINGAPORE,JAMBI,540,600,
SINGAPORE,LUWUK,1170,1300,
SINGAPORE,MAKASSAR,540,600,656643
SINGAPORE,PADANG,720,800,
SINGAPORE,PALEMBANG,450,500,656648
SINGAPORE,PANJANG,540,600,656646
SINGAPORE,PERAWANG,360,400,656650
SINGAPORE,PONTIANAK,585,650,656649
SINGAPORE,SAMARINDA,855,950,
SINGAPORE,SEMARANG,0,0,656651
SINGAPORE,SURABAYA,0,0,656653
SINGAPORE,TARAKAN,1080,1200,
HONG KONG,MACAU,450,500,
PORT KLANG,KUANTAN,765,850,
PORT KLANG,PASIR GUDANG,315,350,659454
PORT KLANG,PENANG,180,200,658367
PORT KLANG,TANJUNG PELEPAS,180,200,659455
SINGAPORE,YANGON,540,600,654704
SINGAPORE,CAGAYAN DE ORO,450,500,
SINGAPORE,CEBU,315,350,659604
SINGAPORE,DAVAO,675,750,659605
SINGAPORE,GENERAL SANTOS,810,900,
SINGAPORE,MANILA,360,400,659527
SINGAPORE,SUBIC BAY,495,550,
BUSAN,GWANGYANG,180,200,
BUSAN,INCHEON,270,300,659644
TAIPEI,KAOHSIUNG,0,0,653438
KAOHSIUNG,KEELUNG,90,100,649133
KAOHSIUNG,TAICHUNG,45,50,656182
KAOHSIUNG,TAOYUAN,90,100,653435
LAEM CHABANG,BANGKOK,180,200,657624
LAEM CHABANG,LAT KRABANG,180,200,656830
SINGAPORE,SONGKHLA PORT,585,650,
SINGAPORE,DANANG,540,600,
SHEKOU,HAIPHONG,0,0,656513
VUNG TAU,HO CHI MINH CITY,10,10,655704
SINGAPORE,QUI NHON,540,600,
YANTIAN,FANGCHENG,450,500,
SHEKOU,QINGDAO,0,0,649034
SINGAPORE,HAKATA/FUKUOKA,175,190,
SINGAPORE,KOBE,315,350,657327
SINGAPORE,NAGOYA,360,400,653750
SINGAPORE,OSAKA,720,800,
SINGAPORE,SHIMIZU,450,500,
SINGAPORE,TOKYO,585,650,657603
SINGAPORE,YOKOHAMA,180,200,660269
SINGAPORE,PORT KLANG,360,400,656281
SINGAPORE,BATANGAS,450,500,
